4,18,29,30,39,52
3,7,13,40,43,47
10,24,27,32,42,52
11,13,30,40,43,44
5,27,33,37,42,58
13,22,39,46,54,59
2,12,24,37,39,43
1,19,27,28,41,50
5,29,41,49,57,59
6,16,24,30,33,44
5,28,36,39,48,49
22,31,32,45,50,53
11,13,15,23,34,39
9,35,49,52,53,58
10,20,34,42,50,56
3,5,37,46,47,57
13,26,28,33,42,53
2,5,23,27,31,58
16,28,29,31,53,59
5,8,20,23,30,50
4,7,19,23,50,58
7,9,14,21,30,57
11,23,26,36,37,44
9,33,37,39,47,54
4,19,22,46,54,56
6,7,11,33,45,57
1,4,9,32,42,58
27,34,47,56,57,58
5,19,27,31,48,57
1,8,14,46,49,59
5,19,34,38,53,54
15,22,38,39,49,56
16,39,41,44,49,50
14,17,19,23,34,51
9,21,33,37,45,51
11,13,14,16,19,38
13,17,20,47,49,50
1,3,5,17,50,52
5,16,29,42,43,58
5,17,20,30,39,49
4,11,22,37,44,48
1,5,29,31,44,58
2,13,27,31,38,41
4,18,40,41,44,46
7,15,26,37,39,58
7,13,20,21,46,53
11,33,42,56,58,59
2,13,18,45,50,59
55,25,11,18,36,13
24,47,21,20,39,26
6,32,12,26,46,8
23,51,54,31,48,36
4,9,44,58,1,40
3,15,58,48,20,57
18,50,14,22,39,15
34,28,6,45,13,37
25,22,55,45,28,11
55,38,46,25,45,57
7,29,42,6,31,2
58,27,34,20,42,3
25,43,9,52,42,46
13,49,21,54,16,30
20,7,10,24,30,38
25,35,32,10,39,14
3,59,35,9,6,5
26,37,48,45,20,30
50,49,15,42,22,54
24,52,6,40,47,21
45,41,44,31,15,14
25,53,29,5,28,58
33,7,17,16,19,57
14,37,39,38,1,11
34,10,41,2,54,13
36,33,12,32,14,17
58,32,2,19,12,54
12,59,39,13,42,19
40,12,15,6,48,24
44,25,9,54,36,41
53,48,33,9,43,23
26,3,17,21,46,59
43,13,31,52,23,25
54,21,40,48,36,46
14,39,11,59,42,36
53,3,41,37,38,26
32,21,59,52,34,20
25,53,58,11,23,38
46,59,41,52,19,9
32,4,30,38,1,6
24,57,16,34,44,5
45,31,49,30,37,56
51,48,57,12,37,25
18,20,38,40,51,42
15,21,12,50,39,24
39,51,21,44,37,34
5,3,15,6,41,45
57,10,55,50,29,6
15,19,41,26,51,57
57,38,22,10,56,35
7,10,56,31,48,24
5,8,24,47,50,53
2,4,6,35,55,58
1,7,10,30,40,53
10,11,18,29,44,59
3,17,23,24,30,49
22,24,27,30,52,57
11,12,14,17,44,58
13,18,27,35,46,53
3,14,15,46,52,53
20,24,33,34,50,51
14,20,23,28,33,54
7,13,21,23,39,44
3,10,26,38,41,47
10,21,29,33,42,51
43,48,49,52,55,58
5,8,33,37,47,52
4,22,26,27,33,37
33,34,44,50,56,57
21,27,31,50,53,59
9,16,26,28,47,58
12,16,17,43,53,57
8,24,36,39,46,56
6,22,29,48,50,59
4,12,35,41,47,50
5,26,36,53,57,58
1,20,25,35,46,59
3,13,41,50,56,57
13,14,25,31,37,39
8,21,37,39,56,59
21,28,33,36,43,46
3,5,21,28,56,57
14,29,31,41,43,56
3,17,28,42,52,57
