7,8,18,33,42,2,8
17,21,23,35,37,10,11
4,11,37,44,49,6,7
10,14,16,19,29,2,10
5,26,28,36,46,6,12
10,16,31,33,50,3,8
16,18,28,34,47,5,10
16,21,34,36,44,9,10
5,12,25,36,46,6,10
1,9,20,29,32,2,3
5,15,26,37,49,8,11
16,26,28,31,46,11,12
9,16,37,38,48,2,7
11,13,24,35,50,6,11
3,6,8,24,50,10,11
12,29,33,37,47,5,10
7,23,34,42,48,1,3
21,22,34,41,49,2,7
8,23,27,42,45,1,9
24,26,38,43,46,2,3
3,13,25,36,47,3,8
2,8,34,44,47,3,9
2,14,17,32,45,3,10
7,12,19,33,43,3,7
8,9,15,19,31,10,12
11,27,41,43,47,7,11
3,6,13,40,42,7,11
18,21,30,46,50,2,6
4,13,25,33,37,5,10
11,13,34,40,42,3,10
16,31,35,44,45,4,12
20,21,29,45,46,3,10
17,34,42,47,48,1,9
19,31,33,34,43,3,5
16,17,23,26,35,5,11
1,11,17,20,27,4,5
2,15,19,35,44,2,7
3,9,12,26,30,10,11
8,27,31,46,50,1,3
12,20,25,26,27,8,12
12,21,35,39,45,6,11
15,20,24,35,38,8,12
19,21,35,37,39,2,6
21,22,24,29,42,3,11
13,16,19,35,41,1,11
13,21,24,31,33,1,12
2,19,24,25,44,2,10
3,5,32,33,50,1,8
2,11,37,45,47,2,3
19,37,42,47,48,1,6
14,16,21,28,35,1,11
7,24,34,39,46,1,6
25,26,28,38,40,1,6
3,5,13,42,48,1,6
24,28,29,34,48,3,7
8,23,32,35,40,1,8
26,27,42,45,50,1,12
3,18,28,42,43,3,12
1,2,11,16,26,3,12
4,20,21,34,44,1,3
14,15,22,35,48,3,8
11,21,23,32,48,3,12
10,27,36,45,49,3,4
9,12,15,40,47,1,11
17,23,24,26,27,4,9
7,10,22,29,44,4,5
7,12,13,20,45,3,12
4,6,10,15,19,1,4
22,23,25,38,44,11,12
19,26,31,39,48,2,3
2,9,13,19,38,2,6
10,14,25,32,39,7,8
14,17,34,35,42,6,10
18,19,21,27,47,5,11
3,29,33,35,44,8,10
7,18,28,40,48,8,11
3,23,38,43,48,3,8
3,5,17,25,27,1,9
16,18,29,32,50,4,11
6,23,27,40,41,2,12
9,17,29,38,39,7,10
14,18,24,25,50,6,11
28,31,35,43,46,4,7
7,10,25,45,48,3,6
6,18,24,34,46,3,12
10,35,42,47,48,2,11
10,17,28,44,50,8,12
6,23,36,39,47,8,10
19,21,22,31,38,7,11
2,7,27,34,40,3,11
17,26,36,37,40,9,12
6,16,17,25,31,2,6
12,28,29,34,48,9,11
3,10,13,42,49,3,9
15,23,28,34,48,3,5
10,13,27,36,37,2,10
8,22,23,32,50,3,9
5,28,30,48,49,5,11
3,11,17,45,48,4,8
3,25,27,28,29,4,9
3,8,18,24,40,3,11
8,20,26,47,48,3,8
10,11,20,36,37,3,7
4,25,28,34,45,8,11
6,11,21,35,36,1,9
2,12,17,28,46,6,10
6,24,30,32,48,5,6
21,30,31,35,47,2,10
1,15,16,38,45,4,11
1,11,13,24,49,5,6
2,7,21,31,45,4,10
8,11,33,42,43,6,11
6,10,24,27,29,5,12
7,17,21,29,40,8,11
1,9,14,17,43,6,12
1,2,12,19,26,2,8
12,19,22,23,48,2,6
12,18,21,25,31,2,9
6,20,40,42,43,10,12
8,24,26,39,42,3,5
10,13,24,30,42,1,5
5,9,14,26,32,3,7
25,38,41,43,50,6,10
9,20,31,33,44,2,12
13,18,38,42,45,7,11
6,20,34,37,43,7,10
3,25,38,43,49,3,7
1,19,36,38,49,6,9
10,25,29,34,45,9,10
6,16,18,39,47,2,4
5,14,35,36,39,7,12
3,12,19,24,30,2,5
6,17,25,31,46,9,12
4,23,32,33,44,9,12
2,14,37,44,50,7,11
18,28,35,36,41,6,11
7,22,25,43,49,6,7
4,6,15,17,29,9,12
2,26,28,34,41,5,10
12,17,21,34,38,2,3
1,2,15,30,35,2,7
19,21,37,47,48,3,6
11,21,33,38,42,2,8
22,31,38,46,47,7,11
21,22,29,32,46,9,10
19,20,26,33,43,1,4
1,20,41,42,50,3,7
17,21,36,42,46,7,10
22,26,38,47,50,2,6
9,19,21,32,36,3,4
2,9,15,47,50,6,9
17,25,26,33,36,1,8
2,12,25,30,41,8,11
2,3,17,29,43,1,4
10,15,28,32,49,3,9
12,15,20,42,44,1,2
12,17,22,33,39,2,12
4,20,36,40,41,1,6
21,26,31,34,49,2,5
6,13,22,45,49,10,11
1,10,23,42,46,3,5
11,13,14,36,45,7,9
1,15,19,26,48,6,12
6,7,12,33,39,1,7
2,12,20,27,41,10,12
20,25,26,30,38,2,8
5,7,8,10,34,1,9
12,18,35,38,45,2,8
1,6,7,18,28,2,8
7,19,35,42,43,7,9
5,7,13,29,35,3,7
5,13,17,32,43,2,10
2,3,31,46,50,8,12
19,21,36,44,50,3,10
3,9,19,20,23,9,11
12,31,41,42,47,4,6
6,12,44,47,49,8,12
9,37,47,48,49,2,7
7,14,21,26,32,4,12
17,21,23,45,46,7,11
10,23,33,35,37,5,10
5,9,19,21,25,10,12
23,24,26,34,50,2,4
3,12,19,41,48,6,9
5,16,42,47,49,3,11
5,6,8,11,22,3,4
6,19,36,37,49,4,11
2,5,21,27,42,9,11
9,14,29,38,49,7,10
6,12,20,24,48,5,6
1,29,30,33,36,3,12
6,24,26,27,41,3,8
11,20,27,30,41,3,5
11,21,26,30,31,2,3
9,17,21,33,39,7,11
2,11,26,36,47,7,9
7,20,36,40,46,2,4
3,10,26,35,44,6,7
11,13,16,34,40,1,12
1,21,26,30,38,2,8
2,9,13,15,35,3,10
5,13,38,39,40,4,12
6,16,18,29,38,6,11
14,25,34,43,46,5,6
14,22,33,38,47,8,9
3,10,13,28,46,4,11
1,16,24,28,46,2,11
13,14,24,35,49,1,10
3,14,15,19,29,2,8
5,17,28,41,46,10,11
6,11,29,40,48,5,9
16,20,31,47,50,2,8
2,8,32,35,44,8,11
2,21,37,38,50,7,8
4,21,34,40,47,2,5
24,27,28,29,42,4,8
10,12,37,49,50,3,8
2,26,29,36,49,3,9
3,9,35,43,44,1,10
23,25,32,35,47,2,6
4,6,9,11,44,10,11
1,16,21,32,33,11,12
4,5,39,46,48,7,10
2,19,24,26,49,6,7
6,12,22,29,33,6,11
9,18,30,39,45,1,3
4,12,25,46,48,7,12
5,9,25,29,30,6,7
7,23,30,32,36,8,12
5,10,24,31,37,9,10
12,19,37,44,45,2,6
18,20,35,38,48,9,12
1,5,27,36,42,1,6
5,7,25,37,40,2,8
8,16,42,44,47,6,7
25,27,31,35,43,5,6
4,10,27,38,40,3,11
2,10,18,34,35,6,9
18,23,37,41,42,4,6
12,34,37,38,42,1,3
16,28,32,44,48,1,9
7,32,39,40,45,3,8
16,21,27,30,32,3,5
2,10,16,42,50,4,11
2,3,13,17,21,7,8
9,13,21,29,35,1,2
6,9,13,24,41,3,12
1,4,21,24,46,2,12
14,20,27,34,38,1,11
14,20,29,47,49,4,12
2,5,8,14,16,8,9
25,33,38,42,50,8,12
28,29,39,48,50,5,7
16,19,25,30,44,2,6
1,5,17,28,31,1,10
3,19,29,32,38,5,12
7,12,37,40,50,1,2
5,7,18,20,30,6,7
12,16,20,21,28,3,9
13,15,28,32,44,3,12
10,15,19,21,23,3,12
5,6,15,37,42,3,4
15,33,38,40,50,3,6
5,14,38,41,46,1,10
11,15,35,41,50,5,8
4,21,36,41,47,9,11
6,12,15,40,45,3,9
4,14,16,41,44,11,12
19,23,34,37,45,1,7
16,25,28,39,40,1,6
2,10,19,25,45,1,7
16,20,25,30,38,6,8
34,38,42,43,45,9,12
2,9,31,35,41,9,12
6,22,29,40,43,4,7
4,8,10,33,46,8,11
7,12,16,17,31,7,9
7,18,30,37,39,8,10
10,15,35,44,50,3,5
6,12,17,34,42,5,12
9,10,19,42,49,4,12
8,13,14,42,50,3,9
5,20,21,36,41,6,11
1,2,5,15,42,5,8
21,24,30,46,49,2,5
9,13,15,17,34,2,7
8,9,27,28,50,4,12
14,15,24,29,42,2,4
7,15,27,41,43,7,9
11,22,30,37,47,9,10
15,17,23,30,38,2,7
12,16,23,33,41,8,10
4,16,27,37,39,3,6
1,6,11,28,42,2,10
1,10,12,21,26,5,11
2,12,19,46,49,1,8
5,14,19,24,43,3,11
4,9,11,17,39,2,10
2,24,39,45,46,4,8
5,15,27,36,46,2,8
5,11,17,24,37,3,6
10,12,22,26,49,7,11
4,8,11,19,46,4,8
4,9,14,21,27,4,6
3,18,22,27,32,2,7
5,25,32,37,43,6,7
11,23,32,34,39,1,6
9,16,29,37,39,4,11
8,25,32,33,38,7,9
2,10,22,27,41,2,3
19,20,38,45,47,2,6
15,23,26,28,32,1,5
1,5,19,21,28,4,7
10,11,14,23,28,6,8
16,28,32,37,45,1,11
6,29,34,35,40,4,11
3,10,17,33,39,1,4
4,5,14,33,48,7,12
16,19,34,46,50,2,6
12,17,24,30,36,1,9
11,14,27,41,46,2,3
7,12,26,30,33,10,11
3,9,20,34,40,6,12
5,7,8,16,20,2,12
3,11,21,27,36,9,10
11,23,30,37,43,5,12
15,38,43,45,46,1,11
4,14,27,44,45,1,10
8,11,20,22,23,3,4
1,4,18,27,42,4,6
7,23,30,32,45,5,9
11,32,34,38,47,2,10
5,20,35,41,49,6,10
24,26,32,43,46,6,10
9,15,17,25,40,3,9
21,23,33,35,47,6,7
13,18,20,23,30,2,4
1,19,27,31,38,4,5
3,4,6,9,24,5,8
10,11,24,36,46,3,5
8,19,20,29,44,3,8
21,25,29,39,44,8,9
6,17,32,44,46,2,6
5,8,12,37,43,6,11
5,15,20,36,47,8,12
26,31,33,41,48,2,4
1,7,22,26,35,5,10
3,11,13,14,47,3,6
8,24,30,32,34,3,4
1,7,12,25,49,6,9
9,16,18,23,32,2,10
2,10,19,21,47,2,8
1,3,27,39,46,1,10
18,31,32,38,48,4,12
3,7,12,42,50,6,8
2,3,15,19,34,5,8
3,21,32,34,48,3,11
8,10,15,30,42,4,6
3,13,20,32,34,4,11
1,21,23,25,39,2,4
8,17,20,23,45,2,8
9,14,25,33,48,2,12
2,20,39,44,48,5,7
16,18,28,42,49,5,10
34,37,39,40,50,4,10
2,5,32,33,47,7,8
8,18,22,41,42,11,12
3,28,31,32,34,4,5
2,14,19,42,45,5,6
7,10,15,44,49,3,12
6,9,35,41,44,6,9
2,11,18,40,46,1,4
24,37,41,43,46,2,8
2,33,42,47,48,1,2
8,21,25,38,50,4,8
22,37,43,44,45,1,12
1,12,27,42,47,6,7
3,22,25,30,49,3,6
10,13,22,40,48,2,5
7,11,38,39,44,7,10
25,27,45,46,49,4,6
8,26,35,43,47,1,9
4,17,35,42,45,2,8
20,22,23,24,37,1,4
9,10,27,37,42,1,5
13,29,31,33,40,2,3
2,14,35,41,42,10,11
12,13,29,36,38,4,12
13,22,33,44,50,2,5
15,20,23,27,40,3,6
2,5,27,37,42,3,10
1,14,19,23,38,3,7
13,14,17,26,28,2,7
3,5,13,18,39,7,8
2,31,39,45,47,4,8
7,29,32,36,41,6,7
2,9,20,34,42,6,9
11,19,29,44,45,8,12
1,3,16,33,49,2,11
6,26,27,34,46,1,9
5,8,9,25,39,3,7
12,24,37,40,44,3,7
1,13,30,31,39,2,7
25,27,39,42,46,11,12
1,4,16,20,34,2,5
9,31,32,39,41,2,8
1,23,24,26,35,1,11
7,19,20,28,29,1,5
5,16,23,30,49,6,7
32,33,34,39,47,8,12
16,28,42,43,45,6,7
10,14,17,25,50,2,10
1,4,27,45,48,1,7
7,20,26,32,47,2,11
2,9,20,27,43,5,6
5,12,20,26,48,2,11
14,33,35,47,50,9,11
18,23,27,42,44,2,7
7,8,32,41,49,5,11
1,8,15,44,49,2,11
1,28,35,36,46,6,9
18,21,29,38,41,1,11
1,7,10,29,45,3,5
2,9,16,26,36,6,7
13,23,26,32,47,6,10
12,19,23,43,47,2,6
4,17,26,30,43,6,11
1,6,9,34,47,7,12
3,15,24,42,46,9,12
5,7,13,19,31,2,9
17,18,19,24,40,4,8
6,10,16,39,46,8,11
6,9,19,26,31,11,12
3,15,29,35,47,3,4
3,27,29,33,50,3,7
1,8,18,19,39,7,9
15,27,34,38,49,2,10
6,34,36,41,50,1,5
11,12,13,39,46,7,10
14,25,31,37,43,2,3
3,21,26,41,46,1,6
14,24,26,32,39,3,8
1,6,13,15,16,6,10
6,23,29,41,49,8,10
5,6,16,30,46,5,10
22,25,29,33,35,3,6
1,19,31,39,48,1,6
3,19,22,31,32,2,11
7,11,19,27,37,6,10
1,8,11,25,28,4,6
13,16,34,35,45,10,12
4,5,8,31,43,2,9
2,12,15,34,50,3,4
1,9,18,39,48,5,7
12,29,38,42,44,2,12
4,7,13,23,42,1,3
11,17,26,37,48,1,10
19,20,21,42,45,8,9
3,10,12,23,26,1,12
4,16,17,18,32,2,11
5,8,25,26,30,3,10
6,19,39,45,48,7,12
9,10,13,28,41,1,12
2,7,10,13,42,3,6
14,17,32,37,49,11,12
14,24,36,40,43,2,9
5,15,17,37,44,7,11
17,23,27,43,44,1,12
5,18,21,31,35,6,9
1,2,5,21,32,2,12
1,3,29,47,48,3,12
15,28,37,40,42,1,6
4,9,12,31,43,5,8
